name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Neptune 1201 SP-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 16/20 Amp, 230V, 6h, 2P+E, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44,1201 SP,,1201 SP,1930,1158,Piece,Each,1,"Neptune 1201 SP-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 16/20 Amp, 230V, 6h, 2P+E, 3 Pin",,,,,,Type,Plug/Socket Combined in Metal Enclosure,No. of Pole,2P+E,Current Rating,16/20 A,Voltage Rating,230V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3,,,,,,,1721018988-Product-1201 SP.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 1201 DP-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 16/20 Amp, 230V, 6h, 2P+E, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44,1201 DP,,1201 DP,1940,1164,Piece,Each,1,"Neptune 1201 DP-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 16/20 Amp, 230V, 6h, 2P+E, 3 Pin",,,,,,Type,Plug/Socket Combined in Metal Enclosure,No. of Pole,2P+E,Current Rating,16/20 A,Voltage Rating,230V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3,,,,,,,1721019003-Product-1201 DP.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 1202 SP/DP-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 32 Amp, 230V, 6h, 2P+E, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44,1202 SP/DP,,1202 SP/DP,2680,1608,Piece,Each,1,"Neptune 1202 SP/DP-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 32 Amp, 230V, 6h, 2P+E, 3 Pin",,,,,,Type,Plug/Socket Combined in Metal Enclosure,No. of Pole,2P+E,Current Rating,32 A,Voltage Rating,230V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3,,,,,,,1721019039-Product-1202SP&DP.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 1203-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 63 Amp, 230V, 6h, 2P+E, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44,1203,,1203,11170,6702,Piece,Each,1,"Neptune 1203-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 63 Amp, 230V, 6h, 2P+E, 3 Pin",,,,,,Type,Plug/Socket Combined in Metal Enclosure,No. of Pole,2P+E,Current Rating,63 A,Voltage Rating,230V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3,,,,,,,1721019088-Product-1203.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 3201-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 16/20 Amp, 230/415V, 6h, 3P+N+E, 5Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44,3201,,3201,2710,1626,Piece,Each,1,"Neptune 3201-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 16/20 Amp, 230/415V, 6h, 3P+N+E, 5Pin",,,,,,Type,Plug/Socket Combined in Metal Enclosure,No. of Pole,3P+N+E,Current Rating,16/20 A,Voltage Rating,230/415V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,5,,,,,,,1721019101-Product-3201.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 3202-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 32 Amp, 230/415V, 6h, 3P+N+E, 5Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44,3202,,3202,3470,2082,Piece,Each,1,"Neptune 3202-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 32 Amp, 230/415V, 6h, 3P+N+E, 5Pin",,,,,,Type,Plug/Socket Combined in Metal Enclosure,No. of Pole,3P+N+E,Current Rating,32 A,Voltage Rating,230/415V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,5,,,,,,,1721019118-Product-3202.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 3203-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 63 Amp, 230/415V, 6h, 3P+N+E, 5Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44,3203,,3203,11020,6612,Piece,Each,1,"Neptune 3203-Plug/Socket Combined in Metal Enclosure Splash Proof IP44, 63 Amp, 230/415V, 6h, 3P+N+E, 5Pin",,,,,,Type,Plug/Socket Combined in Metal Enclosure,No. of Pole,3P+N+E,Current Rating,63 A,Voltage Rating,230/415V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,5,,,,,,,1721019134-Product-3203.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 901-Plug/Socket Combined in Polycarbonate Enclosure Plug Socket, 16/20 Amp, 230V, 6h, 2P+E, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Polycarbonate Enclosure Plug Socket,901,,901,2240,1344,Piece,Each,1,"Neptune 901-Plug/Socket Combined in Polycarbonate Enclosure Plug Socket, 16/20 Amp, 230V, 6h, 2P+E, 3 Pin",,,,,,Type,Plug/Socket Combined in Polycarbonate Enclosure,No. of Pole,2P+E,Current Rating,16/20 A,Voltage Rating,230V,,,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3,,,,,,,1721019145-Product-901.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 911-Plug/Socket Combined in Polycarbonate Enclosure Plug Socket, 32 Amp, 230V, 6h, 2P+E, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Polycarbonate Enclosure Plug Socket,911,,911,3060,1836,Piece,Each,1,"Neptune 911-Plug/Socket Combined in Polycarbonate Enclosure Plug Socket, 32 Amp, 230V, 6h, 2P+E, 3 Pin",,,,,,Type,Plug/Socket Combined in Polycarbonate Enclosure,No. of Pole,2P+E,Current Rating,32 A,Voltage Rating,230V,,,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3,,,,,,,1721019169-Product-911.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 903-Plug/Socket Combined in Polycarbonate Enclosure Plug Socket, 16/20 Amp, 230/415V, 6h, 3P+N+E, 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Polycarbonate Enclosure Plug Socket,903,,903,3130,1878,Piece,Each,1,"Neptune 903-Plug/Socket Combined in Polycarbonate Enclosure Plug Socket, 16/20 Amp, 230/415V, 6h, 3P+N+E, 5 Pin",,,,,,Type,Plug/Socket Combined in Polycarbonate Enclosure,No. of Pole,3P+N+E,Current Rating,16/20 A,Voltage Rating,230/415V,,,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,5,,,,,,,1721019179-Product-903.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 913-Plug/Socket Combined in Polycarbonate Enclosure Plug Socket, 32 Amp, 230/415V, 6h, 3P+N+E, 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Polycarbonate Enclosure Plug Socket,913,,913,3790,2274,Piece,Each,1,"Neptune 913-Plug/Socket Combined in Polycarbonate Enclosure Plug Socket, 32 Amp, 230/415V, 6h, 3P+N+E, 5 Pin",,,,,,Type,Plug/Socket Combined in Polycarbonate Enclosure,No. of Pole,3P+N+E,Current Rating,32 A,Voltage Rating,230/415V,,,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,5,,,,,,,1721019190-Product-913.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 261-Appliance Inlet Splash Proof IP44, 16/20 Amp, 230V, 6h, 2P+E, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Appliance Inlet Splash Proof IP44,261,,261,1650,990,Piece,Each,1,"Neptune 261-Appliance Inlet Splash Proof IP44, 16/20 Amp, 230V, 6h, 2P+E, 3 Pin",,,,,,Type,Appliance Inlet,No. of Pole,2P+E,Current Rating,16/20 A,Voltage Rating,230V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3,,,,,,,1721019208-Product-261.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 2662-Appliance Inlet Splash Proof IP44, 32 Amp, 230V, 6h, 2P+E, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Appliance Inlet Splash Proof IP44,2662,,2662,2410,1446,Piece,Each,1,"Neptune 2662-Appliance Inlet Splash Proof IP44, 32 Amp, 230V, 6h, 2P+E, 3 Pin",,,,,,Type,Appliance Inlet,No. of Pole,2P+E,Current Rating,32 A,Voltage Rating,230V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3,,,,,,,1721019218-Product-2662.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 2612-Appliance Inlet Splash Proof IP44, 16/20 Amp, 230/415V, 6h, 3P+N+E, 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Appliance Inlet Splash Proof IP44,2612,,2612,1700,1020,Piece,Each,1,"Neptune 2612-Appliance Inlet Splash Proof IP44, 16/20 Amp, 230/415V, 6h, 3P+N+E, 5 Pin",,,,,,Type,Appliance Inlet,No. of Pole,3P+N+E,Current Rating,16/20 A,Voltage Rating,230/415V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,5,,,,,,,1721019228-Product-2612.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 2600-Appliance Inlet Splash Proof IP44, 32 Amp, 230/415V, 6h, 3P+N+E, 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Appliance Inlet Splash Proof IP44,2600,,2600,3320,1992,Piece,Each,1,"Neptune 2600-Appliance Inlet Splash Proof IP44, 32 Amp, 230/415V, 6h, 3P+N+E, 5 Pin",,,,,,Type,Appliance Inlet,No. of Pole,3P+N+E,Current Rating,32 A,Voltage Rating,230/415V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,5,,,,,,,1721019239-Product-2600.PNG,,8536,18%,,,,,,,,,1,8-10 Days,
